"","id","status_group"
"1",69572,"functional"
"2",8776,"functional"
"3",34310,"functional"
"4",67743,"non functional"
"5",19728,"functional"
"6",9944,"functional"
"7",19816,"non functional"
"8",54551,"non functional"
"9",53934,"non functional"
"10",46144,"functional"
"11",49056,"functional"
"12",50409,"functional"
"13",36957,"functional"
"14",50495,"functional"
"15",53752,"functional"
"16",61848,"functional"
"17",48451,"non functional"
"18",58155,"non functional"
"19",34169,"functional needs repair"
"20",18274,"functional"
"21",48375,"functional"
"22",6091,"functional"
"23",58500,"functional needs repair"
"24",37862,"functional"
"25",51058,"functional"
"26",22308,"functional needs repair"
"27",55012,"functional"
"28",20145,"functional"
"29",19685,"non functional"
"30",69124,"functional"
"31",46804,"functional"
"32",6696,"functional"
"33",57238,"functional needs repair"
"34",12402,"functional"
"35",41583,"functional"
"36",57355,"non functional"
"37",67359,"non functional"
"38",60048,"functional"
"39",16583,"functional"
"40",25,"non functional"
"41",70238,"functional"
"42",12796,"functional"
"43",52019,"functional"
"44",19282,"non functional"
"45",1843,"functional needs repair"
"46",12958,"non functional"
"47",45111,"functional needs repair"
"48",13620,"functional"
"49",18864,"functional"
"50",25182,"functional"
"51",3228,"functional"
"52",19308,"non functional"
"53",10745,"functional"
"54",32376,"non functional"
"55",9417,"functional"
"56",68724,"non functional"
"57",74197,"functional"
"58",22961,"non functional"
"59",24593,"functional"
"60",31714,"functional needs repair"
"61",29952,"functional"
"62",40393,"non functional"
"63",2127,"functional needs repair"
"64",8265,"non functional"
"65",67433,"functional"
"66",51072,"non functional"
"67",34255,"functional"
"68",22108,"non functional"
"69",4720,"non functional"
"70",54801,"non functional"
"71",21990,"non functional"
"72",17386,"non functional"
"73",41609,"non functional"
"74",35715,"non functional"
"75",53970,"functional"
"76",62971,"non functional"
"77",63542,"functional"
"78",15622,"functional"
"79",12903,"non functional"
"80",52561,"functional"
"81",19415,"functional"
"82",65531,"functional needs repair"
"83",3675,"functional"
"84",34383,"functional"
"85",30423,"non functional"
"86",68717,"non functional"
"87",3688,"functional"
"88",30537,"non functional"
"89",27312,"non functional"
"90",22143,"functional needs repair"
"91",43237,"functional needs repair"
"92",62591,"non functional"
"93",39920,"non functional"
"94",70892,"functional"
"95",48593,"non functional"
"96",26419,"functional"
"97",68554,"non functional"
"98",29083,"functional"
"99",33379,"functional needs repair"
"100",43206,"non functional"
"101",41743,"non functional"
"102",17970,"functional"
"103",25693,"functional"
"104",39364,"functional needs repair"
"105",57580,"functional"
"106",23000,"functional"
"107",59902,"functional"
"108",60371,"non functional"
"109",74246,"non functional"
"110",7116,"functional"
"111",64063,"non functional"
"112",59983,"functional"
"113",10784,"functional"
"114",49503,"functional"
"115",54248,"non functional"
"116",24409,"non functional"
"117",21068,"functional"
"118",62341,"non functional"
"119",10837,"functional"
"120",35458,"non functional"
"121",36038,"non functional"
"122",64447,"functional"
"123",22897,"non functional"
"124",2915,"functional"
"125",14016,"functional"
"126",69525,"non functional"
"127",73061,"functional"
"128",42031,"functional"
"129",33235,"non functional"
"130",41839,"non functional"
"131",62002,"functional"
"132",6106,"functional"
"133",25915,"functional"
"134",20673,"functional"
"135",59475,"functional"
"136",24012,"functional"
"137",69107,"non functional"
"138",64062,"non functional"
"139",44002,"functional"
"140",37471,"functional"
"141",49585,"non functional"
"142",60852,"functional"
"143",64130,"non functional"
"144",17687,"functional"
"145",38876,"non functional"
"146",28669,"functional"
"147",73769,"functional needs repair"
"148",66521,"functional"
"149",53167,"non functional"
"150",24232,"functional"
"151",65788,"functional"
"152",72981,"functional"
"153",60983,"non functional"
"154",37768,"non functional"
"155",64880,"functional"
"156",32871,"non functional"
"157",45564,"functional"
"158",23519,"functional needs repair"
"159",50173,"functional"
"160",66843,"functional"
"161",13815,"functional"
"162",36591,"non functional"
"163",71845,"functional"
"164",42180,"functional"
"165",63632,"functional"
"166",55594,"functional"
"167",11787,"functional"
"168",48528,"non functional"
"169",72678,"functional"
"170",50970,"functional"
"171",37840,"functional"
"172",44258,"non functional"
"173",10715,"functional"
"174",12120,"functional"
"175",67980,"non functional"
"176",41635,"functional"
"177",14884,"functional"
"178",56725,"non functional"
"179",33037,"functional"
"180",22190,"non functional"
"181",47459,"functional"
"182",68908,"functional"
"183",62670,"functional"
"184",60866,"non functional"
"185",2136,"functional"
"186",33320,"functional"
"187",58126,"non functional"
"188",45604,"functional"
"189",67428,"functional needs repair"
"190",52318,"functional"
"191",33347,"non functional"
"192",36684,"functional"
"193",41034,"functional"
"194",112,"non functional"
"195",4807,"functional"
"196",41845,"functional"
"197",6065,"functional"
"198",37187,"non functional"
"199",26540,"non functional"
"200",8879,"functional needs repair"
"201",30377,"functional"
"202",20203,"non functional"
"203",8060,"functional"
"204",59630,"functional"
"205",10068,"functional needs repair"
"206",34609,"non functional"
"207",26701,"functional"
"208",46897,"functional"
"209",34636,"non functional"
"210",52520,"functional"
"211",75,"non functional"
"212",31626,"non functional"
"213",3181,"non functional"
"214",43098,"non functional"
"215",37008,"functional needs repair"
"216",34853,"non functional"
"217",48752,"functional needs repair"
"218",31132,"functional"
"219",37562,"functional"
"220",28740,"functional needs repair"
"221",30257,"functional"
"222",53212,"functional needs repair"
"223",40729,"non functional"
"224",48695,"functional"
"225",35140,"non functional"
"226",46814,"functional"
"227",7721,"functional"
"228",63695,"functional"
"229",7171,"functional"
"230",58838,"functional"
"231",61046,"functional"
"232",68347,"non functional"
"233",14746,"functional needs repair"
"234",14952,"non functional"
"235",64334,"non functional"
"236",72374,"non functional"
"237",33169,"non functional"
"238",4907,"functional needs repair"
"239",49994,"functional needs repair"
"240",59588,"non functional"
"241",46893,"non functional"
"242",16944,"non functional"
"243",35828,"non functional"
"244",24377,"non functional"
"245",51694,"functional"
"246",70241,"non functional"
"247",1780,"functional"
"248",39490,"functional"
"249",21704,"functional"
"250",35193,"non functional"
"251",24948,"functional"
"252",6076,"functional"
"253",18451,"non functional"
"254",13042,"functional needs repair"
"255",34877,"functional"
"256",10891,"non functional"
"257",33500,"non functional"
"258",1012,"non functional"
"259",4321,"functional"
"260",41162,"non functional"
"261",31957,"non functional"
"262",15815,"non functional"
"263",47462,"non functional"
"264",28110,"non functional"
"265",52448,"functional"
"266",18832,"non functional"
"267",62720,"functional needs repair"
"268",14326,"functional"
"269",36933,"functional"
"270",65093,"functional"
"271",50139,"non functional"
"272",36455,"non functional"
"273",49732,"functional"
"274",20200,"functional"
"275",43777,"functional"
"276",42497,"non functional"
"277",52601,"functional"
"278",65530,"non functional"
"279",73024,"functional"
"280",18842,"functional needs repair"
"281",9474,"functional"
"282",44434,"functional"
"283",36366,"functional"
"284",47236,"non functional"
"285",8633,"functional needs repair"
"286",71487,"functional"
"287",46268,"non functional"
"288",36093,"functional"
"289",2591,"functional"
